drug1,drug2,similarity
DB01177,DB00755,0.722
DB01095,DB00755,0.151
DB01248,DB00755,0.438
DB00694,DB00755,0.622
DB00276,DB00755,0.17
DB00242,DB00755,0.155
DB04557,DB00755,0.542
DB01097,DB00755,0.194
DB01167,DB00755,0.194
DB00332,DB00755,0.191
DB01196,DB00755,0.166
DB00845,DB00755,0.171
DB00759,DB00440,0.851
DB01165,DB00440,0.782
DB00199,DB00440,0.762
DB00537,DB00440,0.866
DB01212,DB00440,0.681
DB01327,DB00440,0.506
DB00564,DB00440,0.385
DB00316,DB00440,0.234
DB00446,DB00440,0.838
DB00254,DB00440,0.67
DB00795,DB00440,0.168
DB01393,DB00440,0.155
DB00594,DB00440,0.155
DB01138,DB00440,0.297
DB00863,DB00440,0.21
DB01032,DB00440,0.399
DB00635,DB00440,0.271
DB00860,DB00440,0.28
DB01110,DB00440,0.388
DB00959,DB00440,0.259
DB00563,DB00440,0.853
DB01009,DB00440,0.167
DB01026,DB00440,0.43
DB01221,DB00440,0.154
DB01050,DB00440,0.3
DB01241,DB00440,0.676
DB00158,DB00440,0.86
DB00472,DB00440,0.518
DB00313,DB00440,0.211
DB00255,DB00440,0.212
DB00586,DB00440,0.321
DB00257,DB00440,0.282
DB00501,DB00440,0.585
DB00608,DB00440,0.503
DB00201,DB00440,0.34
DB00437,DB00440,0.15
DB00252,DB00440,0.173
DB00788,DB00440,0.274
DB00468,DB00440,0.463
DB00908,DB00440,0.463
DB00368,DB00440,0.257
DB01065,DB00440,0.185
DB00134,DB00440,0.301
DB00668,DB00440,0.257
DB01235,DB00440,0.344
DB00988,DB00440,0.234
DB00936,DB00440,0.151
DB01103,DB00440,0.208
DB01045,DB00440,0.764
DB01388,DB00440,0.282
DB01211,DB00440,0.636
DB00495,DB00440,0.344
DB00715,DB00440,0.282
DB01059,DB00440,0.763
DB00264,DB00440,0.151
DB00358,DB00440,0.378
DB01118,DB00440,0.282
DB00518,DB00440,0.325
DB01167,DB00440,0.481
DB00176,DB00440,0.282
DB00845,DB00440,0.19
DB00759,DB01211,0.848
DB01165,DB01211,0.881
DB00199,DB01211,0.934
DB00537,DB01211,0.884
DB01212,DB01211,0.659
DB01327,DB01211,0.273
DB00564,DB01211,0.449
DB00316,DB01211,0.169
DB00446,DB01211,0.537
DB00254,DB01211,0.664
DB00795,DB01211,0.156
DB00641,DB01211,0.328
DB00541,DB01211,0.171
DB01124,DB01211,0.257
DB00203,DB01211,0.182
DB00877,DB01211,0.226
DB00863,DB01211,0.505
DB00635,DB01211,0.388
DB00860,DB01211,0.471
DB00175,DB01211,0.409
DB01174,DB01211,0.173
DB01229,DB01211,0.216
DB00471,DB01211,0.173
DB00683,DB01211,0.64
DB01110,DB01211,0.528
DB00959,DB01211,0.43
DB00563,DB01211,0.257
DB00227,DB01211,0.209
DB00836,DB01211,0.152
DB01026,DB01211,0.734
DB01050,DB01211,0.194
DB01016,DB01211,0.152
DB01241,DB01211,0.404
DB00158,DB01211,0.155
DB00472,DB01211,0.414
DB00343,DB01211,0.31
DB00586,DB01211,0.23
DB01394,DB01211,0.153
DB00257,DB01211,0.462
DB00758,DB01211,0.23
DB00501,DB01211,0.463
DB00439,DB01211,0.274
DB00661,DB01211,0.409
DB00201,DB01211,0.223
DB00945,DB01211,0.399
DB00277,DB01211,0.258
DB00252,DB01211,0.31
DB00445,DB01211,0.243
DB00997,DB01211,0.243
DB00788,DB01211,0.218
DB00468,DB01211,0.772
DB00908,DB01211,0.772
DB01045,DB01211,0.845
DB01098,DB01211,0.15
DB01388,DB01211,0.334
DB00495,DB01211,0.348
DB00440,DB01211,0.636
DB00811,DB01211,0.176
DB00715,DB01211,0.414
DB01059,DB01211,0.522
DB00264,DB01211,0.155
DB00333,DB01211,0.152
DB01095,DB01211,0.153
DB00927,DB01211,0.494
DB00390,DB01211,0.452
DB01118,DB01211,0.622
DB01104,DB01211,0.155
DB00514,DB01211,0.287
DB00490,DB01211,0.248
DB00280,DB01211,0.217
DB01167,DB01211,0.775
DB00342,DB01211,0.328
DB00455,DB01211,0.177
DB00176,DB01211,0.375
DB01100,DB01211,0.151
DB01149,DB01211,0.297
DB00637,DB01211,0.245
DB00845,DB01211,0.85
DB00759,DB00254,0.985
DB01165,DB00254,0.732
DB00199,DB00254,0.789
DB00537,DB00254,0.844
DB01212,DB00254,0.911
DB01327,DB00254,0.388
DB00564,DB00254,0.208
DB00316,DB00254,0.264
DB00446,DB00254,0.697
DB00795,DB00254,0.179
DB00412,DB00254,0.162
DB00641,DB00254,0.153
DB00594,DB00254,0.165
DB00523,DB00254,0.463
DB00755,DB00254,0.463
DB00624,DB00254,0.16
DB00675,DB00254,0.544
DB00428,DB00254,0.209
DB00877,DB00254,0.453
DB00863,DB00254,0.162
DB00396,DB00254,0.528
DB01032,DB00254,0.434
DB00635,DB00254,0.327
DB00860,DB00254,0.43
DB01229,DB00254,0.259
DB00834,DB00254,0.297
DB00959,DB00254,0.299
DB00563,DB00254,0.284
DB00678,DB00254,0.243
DB01026,DB00254,0.188
DB01221,DB00254,0.27
DB00328,DB00254,0.292
DB00281,DB00254,0.255
DB01050,DB00254,0.215
DB00502,DB00254,0.256
DB00695,DB00254,0.23
DB00158,DB00254,0.3
DB00544,DB00254,0.272
DB00773,DB00254,0.272
DB00313,DB00254,0.214
DB00255,DB00254,0.48
DB00586,DB00254,0.359
DB00182,DB00254,0.199
DB01394,DB00254,0.167
DB00907,DB00254,0.277
DB00363,DB00254,0.294
DB00257,DB00254,0.151
DB00608,DB00254,0.695
DB00439,DB00254,0.19
DB00482,DB00254,0.22
DB00661,DB00254,0.152
DB00945,DB00254,0.217
DB00437,DB00254,0.172
DB00252,DB00254,0.152
DB00445,DB00254,0.38
DB00997,DB00254,0.38
DB00468,DB00254,0.647
DB00908,DB00254,0.647
DB00368,DB00254,0.329
DB00184,DB00254,0.194
DB00134,DB00254,0.409
DB00451,DB00254,0.221
DB00668,DB00254,0.269
DB00988,DB00254,0.4
DB00783,DB00254,0.335
DB01103,DB00254,0.309
DB00640,DB00254,0.262
DB03128,DB00254,0.275
DB00917,DB00254,0.219
DB00602,DB00254,0.573
DB01045,DB00254,0.769
DB00398,DB00254,0.15
DB00530,DB00254,0.313
DB00317,DB00254,0.255
DB01211,DB00254,0.664
DB00440,DB00254,0.67
DB00619,DB00254,0.31
DB00811,DB00254,0.234
DB01059,DB00254,0.503
DB00371,DB00254,0.15
DB00358,DB00254,0.746
DB00390,DB00254,0.152
DB00518,DB00254,0.41
DB04557,DB00254,0.185
DB01097,DB00254,0.316
DB01167,DB00254,0.21
DB01142,DB00254,0.163
DB00643,DB00254,0.207
DB00845,DB00254,0.26
DB00759,DB00446,0.937
DB01165,DB00446,0.733
DB00199,DB00446,0.94
DB00537,DB00446,0.855
DB01212,DB00446,0.762
DB01327,DB00446,0.578
DB00564,DB00446,0.229
DB00316,DB00446,0.309
DB00254,DB00446,0.697
DB00675,DB00446,0.173
DB00421,DB00446,0.284
DB00206,DB00446,0.154
DB00860,DB00446,0.217
DB00812,DB00446,0.23
DB01174,DB00446,0.377
DB01229,DB00446,0.19
DB00295,DB00446,0.216
DB01110,DB00446,0.172
DB00563,DB00446,0.223
DB01026,DB00446,0.218
DB01221,DB00446,0.204
DB00158,DB00446,0.377
DB00544,DB00446,0.156
DB00255,DB00446,0.188
DB00115,DB00446,0.291
DB01394,DB00446,0.921
DB00257,DB00446,0.171
DB00477,DB00446,0.195
DB00608,DB00446,0.626
DB00201,DB00446,0.91
DB00945,DB00446,0.209
DB00277,DB00446,0.167
DB00252,DB00446,0.205
DB00140,DB00446,0.575
DB00468,DB00446,0.917
DB00908,DB00446,0.917
DB00368,DB00446,0.9
DB00627,DB00446,0.912
DB01065,DB00446,0.9
DB00134,DB00446,0.544
DB00668,DB00446,0.908
DB00988,DB00446,0.912
DB00987,DB00446,0.173
DB00936,DB00446,0.376
DB00122,DB00446,0.172
DB00640,DB00446,0.932
DB03128,DB00446,0.9
DB00917,DB00446,0.9
DB01045,DB00446,0.818
DB01211,DB00446,0.537
DB00495,DB00446,0.151
DB00440,DB00446,0.838
DB01059,DB00446,0.723
DB00371,DB00446,0.17
DB00518,DB00446,0.155
DB01167,DB00446,0.264
DB00643,DB00446,0.4
DB00759,DB01327,0.577
DB01165,DB01327,0.689
DB00199,DB01327,0.605
DB00537,DB01327,0.742
DB01212,DB01327,0.762
DB00316,DB01327,0.208
DB00446,DB01327,0.578
DB00254,DB01327,0.388
DB00863,DB01327,0.151
DB01032,DB01327,0.257
DB00635,DB01327,0.171
DB00860,DB01327,0.23
DB00295,DB01327,0.209
DB00683,DB01327,0.284
DB00959,DB01327,0.298
DB00814,DB01327,0.172
DB01009,DB01327,0.153
DB01221,DB01327,0.297
DB00281,DB01327,0.31
DB00695,DB01327,0.182
DB00829,DB01327,0.15
DB00945,DB01327,0.19
DB00252,DB01327,0.172
DB00668,DB01327,0.214
DB01045,DB01327,0.571
DB01211,DB01327,0.273
DB00440,DB01327,0.506
DB01059,DB01327,0.474
DB00813,DB01327,0.284
DB00320,DB01327,0.183
DB00390,DB01327,0.15
DB00921,DB01327,0.294
DB01337,DB01327,0.173
DB01167,DB01327,0.201
DB00845,DB01327,0.44
DB00759,DB01212,0.82
DB01165,DB01212,0.878
DB00199,DB01212,0.786
DB00537,DB01212,0.876
DB01327,DB01212,0.762
DB00564,DB01212,0.174
DB00316,DB01212,0.31
DB00446,DB01212,0.762
DB00254,DB01212,0.911
DB00541,DB01212,0.671
DB00740,DB01212,0.482
DB00863,DB01212,0.23
DB01032,DB01212,0.31
DB00635,DB01212,0.386
DB00860,DB01212,0.759
DB01174,DB01212,0.151
DB00295,DB01212,0.295
DB00683,DB01212,0.194
DB00959,DB01212,0.826
DB00563,DB01212,0.195
DB01221,DB01212,0.193
DB00281,DB01212,0.195
DB01050,DB01212,0.23
DB00695,DB01212,0.31
DB00158,DB01212,0.217
DB00313,DB01212,0.261
DB00586,DB01212,0.23
DB00907,DB01212,0.393
DB00758,DB01212,0.151
DB00608,DB01212,0.176
DB00945,DB01212,0.23
DB01435,DB01212,0.256
DB00437,DB01212,0.15
DB00252,DB01212,0.31
DB00468,DB01212,0.213
DB00908,DB01212,0.213
DB00368,DB01212,0.157
DB00668,DB01212,0.208
DB00988,DB01212,0.245
DB01045,DB01212,0.729
DB01211,DB01212,0.659
DB00495,DB01212,0.282
DB00440,DB01212,0.681
DB00811,DB01212,0.17
DB01059,DB01212,0.793
DB00813,DB01212,0.15
DB00320,DB01212,0.271
DB00390,DB01212,0.151
DB00518,DB01212,0.154
DB01167,DB01212,0.216
DB00332,DB01212,0.156
DB00845,DB01212,0.21
DB00759,DB00537,0.877
DB01165,DB00537,0.967
DB00199,DB00537,0.891
DB01212,DB00537,0.876
DB01327,DB00537,0.742
DB00564,DB00537,0.293
DB00316,DB00537,0.31
DB00446,DB00537,0.855
DB00254,DB00537,0.844
DB00554,DB00537,0.191
DB00795,DB00537,0.218
DB00206,DB00537,0.33
DB00863,DB00537,0.24
DB01032,DB00537,0.209
DB00635,DB00537,0.355
DB00860,DB00537,0.491
DB00683,DB00537,0.278
DB01110,DB00537,0.372
DB00959,DB00537,0.329
DB00563,DB00537,0.283
DB00836,DB00537,0.273
DB00555,DB00537,0.199
DB01026,DB00537,0.457
DB01221,DB00537,0.272
DB00328,DB00537,0.151
DB00281,DB00537,0.217
DB01050,DB00537,0.368
DB01241,DB00537,0.444
DB00695,DB00537,0.209
DB00158,DB00537,0.234
DB00712,DB00537,0.22
DB00472,DB00537,0.465
DB00544,DB00537,0.154
DB00773,DB00537,0.483
DB00586,DB00537,0.33
DB00257,DB00537,0.374
DB00501,DB00537,0.587
DB00608,DB00537,0.274
DB00661,DB00537,0.2
DB00201,DB00537,0.277
DB00945,DB00537,0.21
DB01435,DB00537,0.2
DB00277,DB00537,0.447
DB00437,DB00537,0.176
DB00252,DB00537,0.23
DB00445,DB00537,0.366
DB00997,DB00537,0.366
DB00788,DB00537,0.173
DB00468,DB00537,0.451
DB00908,DB00537,0.451
DB00134,DB00537,0.219
DB00668,DB00537,0.154
DB01235,DB00537,0.151
DB00987,DB00537,0.15
DB00936,DB00537,0.258
DB01045,DB00537,0.889
DB01388,DB00537,0.48
DB01211,DB00537,0.884
DB00495,DB00537,0.236
DB00440,DB00537,0.866
DB00715,DB00537,0.355
DB01059,DB00537,0.967
DB01204,DB00537,0.261
DB00264,DB00537,0.15
DB00333,DB00537,0.231
DB01177,DB00537,0.279
DB00320,DB00537,0.155
DB00694,DB00537,0.28
DB00887,DB00537,0.238
DB01118,DB00537,0.531
DB00518,DB00537,0.174
DB01035,DB00537,0.257
DB00215,DB00537,0.299
DB01175,DB00537,0.299
DB00656,DB00537,0.36
DB01097,DB00537,0.169
DB01167,DB00537,0.513
DB00176,DB00537,0.557
DB00845,DB00537,0.699
DB00759,DB00845,0.231
DB01165,DB00845,0.656
DB00199,DB00845,0.193
DB00537,DB00845,0.699
DB01212,DB00845,0.21
DB01327,DB00845,0.44
DB00254,DB00845,0.26
DB00795,DB00845,0.259
DB00523,DB00845,0.171
DB00755,DB00845,0.171
DB01032,DB00845,0.16
DB00635,DB00845,0.273
DB00860,DB00845,0.343
DB00959,DB00845,0.156
DB00563,DB00845,0.21
DB00695,DB00845,0.156
DB01394,DB00845,0.273
DB00608,DB00845,0.23
DB01045,DB00845,0.916
DB01211,DB00845,0.85
DB00440,DB00845,0.19
DB00759,DB01059,0.773
DB01165,DB01059,0.958
DB00199,DB01059,0.669
DB00537,DB01059,0.967
DB01212,DB01059,0.793
DB01327,DB01059,0.474
DB00564,DB01059,0.187
DB00446,DB01059,0.723
DB00254,DB01059,0.503
DB00206,DB01059,0.299
DB01110,DB01059,0.345
DB01026,DB01059,0.282
DB01050,DB01059,0.191
DB01241,DB01059,0.282
DB00158,DB01059,0.151
DB00472,DB01059,0.412
DB00773,DB01059,0.201
DB00586,DB01059,0.205
DB00257,DB01059,0.344
DB00501,DB01059,0.48
DB00608,DB01059,0.172
DB00201,DB01059,0.261
DB00277,DB01059,0.29
DB00445,DB01059,0.201
DB00997,DB01059,0.201
DB00788,DB01059,0.151
DB00468,DB01059,0.282
DB00908,DB01059,0.282
DB00936,DB01059,0.244
DB01045,DB01059,0.527
DB01388,DB01059,0.48
DB01211,DB01059,0.522
DB00440,DB01059,0.763
DB00715,DB01059,0.282
DB01204,DB01059,0.201
DB01177,DB01059,0.201
DB00694,DB01059,0.201
DB01118,DB01059,0.48
DB01167,DB01059,0.374
DB00176,DB01059,0.48
DB00759,DB00624,0.226
DB00199,DB00624,0.381
DB00564,DB00624,0.299
DB00316,DB00624,0.19
DB00254,DB00624,0.16
DB01645,DB00624,0.557
DB04216,DB00624,0.313
DB00412,DB00624,0.374
DB00641,DB00624,0.23
DB00541,DB00624,0.243
DB00197,DB00624,0.479
DB00523,DB00624,0.541
DB00755,DB00624,0.541
DB01124,DB00624,0.45
DB00675,DB00624,0.704
DB00605,DB00624,0.15
DB00428,DB00624,0.546
DB00421,DB00624,0.625
DB00203,DB00624,0.596
DB00533,DB00624,0.159
DB00206,DB00624,0.162
DB00877,DB00624,0.251
DB00571,DB00624,0.408
DB03322,DB00624,0.408
DB00396,DB00624,0.975
DB00635,DB00624,0.633
DB00860,DB00624,0.436
DB00457,DB00624,0.23
DB00175,DB00624,0.266
DB01132,DB00624,0.397
DB01174,DB00624,0.642
DB01229,DB00624,0.294
DB01183,DB00624,0.456
DB00295,DB00624,0.448
DB00834,DB00624,0.542
DB00683,DB00624,0.454
DB01110,DB00624,0.157
DB01011,DB00624,0.59
DB00959,DB00624,0.175
DB00563,DB00624,0.227
DB00227,DB00624,0.269
DB00678,DB00624,0.242
DB00555,DB00624,0.169
DB01026,DB00624,0.737
DB01221,DB00624,0.37
DB00328,DB00624,0.371
DB00281,DB00624,0.38
DB01050,DB00624,0.305
DB00741,DB00624,0.977
DB00502,DB00624,0.404
DB01016,DB00624,0.221
DB01241,DB00624,0.251
DB00695,DB00624,0.194
DB00158,DB00624,0.393
DB00472,DB00624,0.381
DB00544,DB00624,0.248
DB00773,DB00624,0.209
DB00903,DB00624,0.188
DB00313,DB00624,0.364
DB00343,DB00624,0.24
DB00255,DB00624,0.988
DB00586,DB00624,0.422
DB00829,DB00624,0.377
DB00182,DB00624,0.336
DB00443,DB00624,0.335
DB01234,DB00624,0.335
DB00470,DB00624,0.369
DB00115,DB00624,0.265
DB01394,DB00624,0.248
DB00907,DB00624,0.44
DB00363,DB00624,0.19
DB00257,DB00624,0.258
DB00575,DB00624,0.348
DB00501,DB00624,0.31
DB00477,DB00624,0.177
DB00439,DB00624,0.445
DB00482,DB00624,0.357
DB00661,DB00624,0.423
DB00201,DB00624,0.545
DB00945,DB00624,0.463
DB01435,DB00624,0.221
DB00277,DB00624,0.204
DB00437,DB00624,0.198
DB00252,DB00624,0.417
DB00445,DB00624,0.318
DB00997,DB00624,0.318
DB00468,DB00624,0.356
DB00908,DB00624,0.356
DB00368,DB00624,0.637
DB00184,DB00624,0.409
DB00627,DB00624,0.218
DB01065,DB00624,0.742
DB00134,DB00624,0.439
DB00451,DB00624,0.904
DB00668,DB00624,0.588
DB01235,DB00624,0.309
DB00655,DB00624,0.975
DB00988,DB00624,0.729
DB00783,DB00624,0.999
DB00122,DB00624,0.261
DB00640,DB00624,0.292
DB03128,DB00624,0.453
DB00917,DB00624,0.436
DB01045,DB00624,0.362
DB01268,DB00624,0.15
DB01254,DB00624,0.156
DB00398,DB00624,0.234
DB00570,DB00624,0.315
DB00495,DB00624,0.151
DB01586,DB00624,0.265
DB00619,DB00624,0.356
DB01037,DB00624,0.195
DB00715,DB00624,0.217
DB01204,DB00624,0.366
DB00264,DB00624,0.151
DB00333,DB00624,0.362
DB00458,DB00624,0.237
DB01095,DB00624,0.255
DB00813,DB00624,0.175
DB01248,DB00624,0.606
DB00390,DB00624,0.218
DB01151,DB00624,0.15
DB00921,DB00624,0.18
DB00321,DB00624,0.156
DB04557,DB00624,0.44
DB00285,DB00624,0.19
DB01104,DB00624,0.208
DB00734,DB00624,0.216
DB03783,DB00624,0.385
DB00334,DB00624,0.171
DB00704,DB00624,0.335
DB00514,DB00624,0.356
DB01242,DB00624,0.15
DB00215,DB00624,0.208
DB01175,DB00624,0.208
DB00490,DB00624,0.155
DB00590,DB00624,0.292
DB01200,DB00624,0.705
DB01193,DB00624,0.365
DB00977,DB00624,0.729
DB00342,DB00624,0.19
DB00176,DB00624,0.153
DB01100,DB00624,0.171
DB00882,DB00624,0.854
DB01196,DB00624,0.385
DB00539,DB00624,0.372
DB00759,DB01045,0.866
DB01165,DB01045,0.915
DB00199,DB01045,0.907
DB00537,DB01045,0.889
DB01212,DB01045,0.729
DB01327,DB01045,0.571
DB00564,DB01045,0.764
DB00316,DB01045,0.359
DB00446,DB01045,0.818
DB00254,DB01045,0.769
DB00795,DB01045,0.179
DB00559,DB01045,0.151
DB00641,DB01045,0.503
DB00197,DB01045,0.619
DB00523,DB01045,0.22
DB00755,DB01045,0.22
DB01124,DB01045,0.423
DB00624,DB01045,0.362
DB00675,DB01045,0.191
DB01138,DB01045,0.155
DB00421,DB01045,0.15
DB00206,DB01045,0.172
DB00877,DB01045,0.357
DB00863,DB01045,0.209
DB00571,DB01045,0.241
DB03322,DB01045,0.241
DB00396,DB01045,0.377
DB01032,DB01045,0.21
DB00635,DB01045,0.463
DB00860,DB01045,0.621
DB00175,DB01045,0.532
DB01132,DB01045,0.151
DB00812,DB01045,0.218
DB01174,DB01045,0.881
DB01229,DB01045,0.514
DB00295,DB01045,0.156
DB00834,DB01045,0.155
DB00683,DB01045,0.611
DB01110,DB01045,0.273
DB01011,DB01045,0.231
DB00959,DB01045,0.37
DB00563,DB01045,0.415
DB00227,DB01045,0.169
DB00678,DB01045,0.196
DB00555,DB01045,0.15
DB01026,DB01045,0.663
DB01221,DB01045,0.15
DB00328,DB01045,0.15
DB00281,DB01045,0.151
DB01050,DB01045,0.178
DB00741,DB01045,0.372
DB00502,DB01045,0.283
DB01016,DB01045,0.179
DB01241,DB01045,0.179
DB00695,DB01045,0.21
DB00158,DB01045,0.32
DB00472,DB01045,0.208
DB00313,DB01045,0.292
DB00343,DB01045,0.217
DB00255,DB01045,0.276
DB00586,DB01045,0.17
DB00829,DB01045,0.255
DB01394,DB01045,0.15
DB00257,DB01045,0.402
DB00758,DB01045,0.23
DB00501,DB01045,0.436
DB00477,DB01045,0.208
DB00608,DB01045,0.218
DB00439,DB01045,0.315
DB00661,DB01045,0.43
DB00201,DB01045,0.189
DB00945,DB01045,0.363
DB01435,DB01045,0.418
DB00277,DB01045,0.284
DB00437,DB01045,0.17
DB00252,DB01045,0.65
DB00445,DB01045,0.288
DB00997,DB01045,0.288
DB00140,DB01045,0.168
DB00468,DB01045,0.469
DB00908,DB01045,0.469
DB00368,DB01045,0.205
DB00627,DB01045,0.371
DB01065,DB01045,0.347
DB00134,DB01045,0.34
DB00451,DB01045,0.217
DB00988,DB01045,0.266
DB00783,DB01045,0.372
DB00936,DB01045,0.312
DB00640,DB01045,0.294
DB00917,DB01045,0.152
DB00602,DB01045,0.212
DB01098,DB01045,0.24
DB01211,DB01045,0.845
DB00570,DB01045,0.22
DB00495,DB01045,0.598
DB01586,DB01045,0.333
DB00440,DB01045,0.764
DB00619,DB01045,0.167
DB00811,DB01045,0.256
DB00715,DB01045,0.193
DB01059,DB01045,0.527
DB00264,DB01045,0.153
DB00333,DB01045,0.423
DB01043,DB01045,0.16
DB00358,DB01045,0.255
DB01248,DB01045,0.528
DB00390,DB01045,0.412
DB01118,DB01045,0.425
DB00518,DB01045,0.184
DB01104,DB01045,0.208
DB00734,DB01045,0.153
DB01182,DB01045,0.186
DB03783,DB01045,0.176
DB00334,DB01045,0.152
DB00514,DB01045,0.234
DB01167,DB01045,0.563
DB00977,DB01045,0.384
DB00342,DB01045,0.358
DB00176,DB01045,0.172
DB00637,DB01045,0.217
DB00845,DB01045,0.916
DB00759,DB00917,0.244
DB00831,DB00917,0.172
DB00564,DB00917,0.234
DB00316,DB00917,0.417
DB00446,DB00917,0.9
DB00254,DB00917,0.219
DB00554,DB00917,0.648
DB00795,DB00917,0.284
DB01645,DB00917,0.551
DB04216,DB00917,0.325
DB00412,DB00917,0.92
DB00641,DB00917,0.269
DB00594,DB00917,0.3
DB00197,DB00917,0.17
DB00523,DB00917,0.558
DB00755,DB00917,0.558
DB00624,DB00917,0.436
DB00675,DB00917,0.274
DB00605,DB00917,0.588
DB00428,DB00917,0.341
DB00533,DB00917,0.747
DB00206,DB00917,0.15
DB00877,DB00917,0.279
DB00863,DB00917,0.334
DB00571,DB00917,0.433
DB03322,DB00917,0.433
DB00396,DB00917,0.674
DB01032,DB00917,0.268
DB00635,DB00917,0.274
DB00860,DB00917,0.216
DB00457,DB00917,0.157
DB00175,DB00917,0.151
DB01132,DB00917,0.237
DB00812,DB00917,0.295
DB01174,DB00917,0.188
DB01229,DB00917,0.216
DB01092,DB00917,0.299
DB01183,DB00917,0.369
DB00295,DB00917,0.344
DB00471,DB00917,0.217
DB00834,DB00917,0.498
DB00959,DB00917,0.317
DB00563,DB00917,0.326
DB00814,DB00917,0.733
DB00678,DB00917,0.173
DB00836,DB00917,0.257
DB01009,DB00917,0.352
DB01221,DB00917,0.293
DB00328,DB00917,0.955
DB00281,DB00917,0.22
DB01050,DB00917,0.76
DB00741,DB00917,0.593
DB01016,DB00917,0.35
DB00695,DB00917,0.512
DB00158,DB00917,0.171
DB00712,DB00917,0.524
DB00472,DB00917,0.199
DB00544,DB00917,0.212
DB00749,DB00917,0.358
DB00313,DB00917,0.28
DB01075,DB00917,0.172
DB00255,DB00917,0.688
DB00586,DB00917,0.696
DB00182,DB00917,0.291
DB00470,DB00917,0.381
DB00115,DB00917,0.153
DB01394,DB00917,0.929
DB00907,DB00917,0.218
DB00575,DB00917,0.208
DB00501,DB00917,0.325
DB01114,DB00917,0.152
DB00608,DB00917,0.258
DB00439,DB00917,0.238
DB00482,DB00917,0.914
DB00661,DB00917,0.405
DB00201,DB00917,0.925
DB00945,DB00917,0.905
DB01435,DB00917,0.182
DB00277,DB00917,0.356
DB00437,DB00917,0.287
DB00252,DB00917,0.213
DB00445,DB00917,0.219
DB00997,DB00917,0.219
DB00788,DB00917,0.541
DB00468,DB00917,0.908
DB00908,DB00917,0.908
DB00368,DB00917,0.973
DB00184,DB00917,0.311
DB00627,DB00917,0.923
DB01065,DB00917,0.92
DB00134,DB00917,0.316
DB00451,DB00917,0.923
DB00668,DB00917,0.964
DB01235,DB00917,0.189
DB00655,DB00917,0.175
DB00988,DB00917,0.953
DB00783,DB00917,0.703
DB00936,DB00917,0.479
DB00122,DB00917,0.22
DB01103,DB00917,0.387
DB00640,DB00917,0.962
DB03128,DB00917,0.965
DB01045,DB00917,0.152
DB01268,DB00917,0.156
DB00398,DB00917,0.154
DB00530,DB00917,0.292
DB00317,DB00917,0.384
DB01586,DB00917,0.914
DB00813,DB00917,0.348
DB00927,DB00917,0.243
DB00320,DB00917,0.218
DB00390,DB00917,0.494
DB00887,DB00917,0.235
DB00819,DB00917,0.214
DB04557,DB00917,0.997
DB03783,DB00917,0.152
DB00696,DB00917,0.441
DB00669,DB00917,0.218
DB00211,DB00917,0.218
DB01115,DB00917,0.406
DB00759,DB00252,0.23
DB00831,DB00252,0.15
DB01165,DB00252,0.197
DB00199,DB00252,0.414
DB00537,DB00252,0.23
DB01212,DB00252,0.31
DB01327,DB00252,0.172
DB00564,DB00252,0.991
DB00316,DB00252,0.474
DB00446,DB00252,0.205
DB00254,DB00252,0.152
DB00554,DB00252,0.196
DB00795,DB00252,0.291
DB00641,DB00252,0.291
DB00594,DB00252,0.46
DB00541,DB00252,0.195
DB00523,DB00252,0.314
DB00755,DB00252,0.314
DB01124,DB00252,0.753
DB00624,DB00252,0.417
DB00675,DB00252,0.211
DB01138,DB00252,0.187
DB00421,DB00252,0.22
DB00203,DB00252,0.185
DB00740,DB00252,0.296
DB00206,DB00252,0.197
DB00877,DB00252,0.156
DB00863,DB00252,0.388
DB00571,DB00252,0.655
DB03322,DB00252,0.655
DB01069,DB00252,0.207
DB00396,DB00252,0.319
DB01032,DB00252,0.21
DB00635,DB00252,0.426
DB00860,DB00252,0.47
DB00457,DB00252,0.173
DB00175,DB00252,0.195
DB00812,DB00252,0.403
DB01174,DB00252,0.973
DB01229,DB00252,0.292
DB01092,DB00252,0.422
DB01054,DB00252,0.192
DB01183,DB00252,0.269
DB00295,DB00252,0.388
DB00471,DB00252,0.56
DB00683,DB00252,0.607
DB01110,DB00252,0.218
DB01011,DB00252,0.195
DB00959,DB00252,0.525
DB00563,DB00252,0.408
DB00227,DB00252,0.227
DB00678,DB00252,0.33
DB00836,DB00252,0.191
DB00555,DB00252,0.984
DB01009,DB00252,0.171
DB01026,DB00252,0.475
DB01221,DB00252,0.419
DB00328,DB00252,0.23
DB00281,DB00252,0.874
DB01050,DB00252,0.411
DB00741,DB00252,0.441
DB00502,DB00252,0.543
DB01016,DB00252,0.212
DB01241,DB00252,0.151
DB00695,DB00252,0.386
DB00158,DB00252,0.585
DB00712,DB00252,0.337
DB00472,DB00252,0.41
DB00544,DB00252,0.269
DB00773,DB00252,0.155
DB00584,DB00252,0.175
DB00313,DB00252,0.973
DB01075,DB00252,0.274
DB00343,DB00252,0.388
DB00255,DB00252,0.435
DB00586,DB00252,0.451
DB00829,DB00252,0.932
DB00182,DB00252,0.368
DB00470,DB00252,0.191
DB00115,DB00252,0.17
DB01394,DB00252,0.157
DB00907,DB00252,0.374
DB00363,DB00252,0.32
DB00257,DB00252,0.208
DB00758,DB00252,0.543
DB00575,DB00252,0.445
DB00501,DB00252,0.506
