drug1,drug2,similarity
DB00921,DB00788,0.152
DB00321,DB00788,0.418
DB01118,DB00788,0.204
DB04557,DB00788,0.575
DB00285,DB00788,0.31
DB01104,DB00788,0.343
DB03783,DB00788,0.273
DB00696,DB00788,0.409
DB01184,DB00788,0.152
DB00514,DB00788,0.312
DB01242,DB00788,0.156
DB00215,DB00788,0.217
DB01175,DB00788,0.217
DB00669,DB00788,0.574
DB00656,DB00788,0.154
DB00500,DB00788,0.855
DB01097,DB00788,0.236
DB01167,DB00788,0.151
DB00977,DB00788,0.209
DB01142,DB00788,0.155
DB00759,DB00316,0.322
DB01165,DB00316,0.209
DB00199,DB00316,0.299
DB00537,DB00316,0.31
DB01212,DB00316,0.31
DB01327,DB00316,0.208
DB00564,DB00316,0.58
DB00446,DB00316,0.309
DB00254,DB00316,0.264
DB00554,DB00316,0.508
DB00795,DB00316,0.297
DB04216,DB00316,0.295
DB00641,DB00316,0.238
DB00177,DB00316,0.168
DB00197,DB00316,0.232
DB00523,DB00316,0.172
DB00755,DB00316,0.172
DB01124,DB00316,0.156
DB00373,DB00316,0.153
DB00624,DB00316,0.19
DB00675,DB00316,0.239
DB00605,DB00316,0.274
DB00428,DB00316,0.153
DB00421,DB00316,0.155
DB00203,DB00316,0.18
DB00533,DB00316,0.529
DB00206,DB00316,0.152
DB00863,DB00316,0.466
DB00571,DB00316,0.31
DB03322,DB00316,0.31
DB01069,DB00316,0.33
DB00396,DB00316,0.261
DB01032,DB00316,0.175
DB00635,DB00316,0.3
DB00860,DB00316,0.388
DB00812,DB00316,0.415
DB01174,DB00316,0.672
DB01183,DB00316,0.354
DB00295,DB00316,0.827
DB00683,DB00316,0.62
DB00959,DB00316,0.356
DB00563,DB00316,0.352
DB00814,DB00316,0.447
DB00678,DB00316,0.187
DB00836,DB00316,0.23
DB00555,DB00316,0.399
DB01009,DB00316,0.652
DB01026,DB00316,0.197
DB01221,DB00316,0.44
DB00328,DB00316,0.574
DB00281,DB00316,0.596
DB01050,DB00316,0.839
DB00741,DB00316,0.233
DB00502,DB00316,0.217
DB01016,DB00316,0.152
DB00695,DB00316,0.343
DB00158,DB00316,0.295
DB00712,DB00316,0.341
DB00472,DB00316,0.272
DB00544,DB00316,0.154
DB00773,DB00316,0.211
DB00749,DB00316,0.329
DB00584,DB00316,0.172
DB00313,DB00316,0.444
DB01075,DB00316,0.411
DB00343,DB00316,0.297
DB00255,DB00316,0.314
DB00586,DB00316,0.764
DB00829,DB00316,0.491
DB00182,DB00316,0.217
DB00115,DB00316,0.172
DB01394,DB00316,0.208
DB00907,DB00316,0.324
DB00363,DB00316,0.156
